,clean_text,Dominant_Topic
738,team make comeback win next match bangladesh end campaign draw afghanistan,3
739,seven point total india finish third table behind qatar oman thus get eliminate world cup second round,4
740,however qualified third round afc asian cup qualification,3
741,external link nomenclature mar fourth planet sun second small planet solar system large mercury,5
742,english mar carry name roman god war often refer red planet,2
743,latter refers effect iron oxide prevalent mar surface give reddish appearance distinctive among astronomical body visible naked eye,4
744,mar terrestrial planet thin atmosphere surface feature reminiscent impact crater moon valley desert polar ice cap earth,2
745,physical characteristic,5
746,day season comparable earth rotational period well tilt rotational axis relative ecliptic plane similar,3
747,mar site olympus mon large volcano high know mountain planet solar system valles marineris one large canyon solar system,5
748,smooth borealis basin northern hemisphere cover planet may giant impact feature,3
749,mar two moon phobos deimos small irregularly shape,2
750,may capture asteroid similar eureka mar trojan,1
751,internal structure mar explore several uncrewed spacecraft,2
752,mariner first spacecraft visit mar launch nasa november make close approach planet july,2
753,mariner detect weak martian radiation belt measure earth capture first image another planet deep space,4
754,soviet mar mission include lander achieve soft land december however contact lose second touchdown,5
755,july viking perform first successful landing martian surface,4
756,july mar pathfinder spacecraft land mar july release rover sojourner first robotic rover operate mar,4
757,mar express orbiter first european space agency esa spacecraft visit mar arrive orbit december,2
758,january nasa mar exploration rover name spirit opportunity land mar spirit operate march opportunity last june,5
759,nasa land curiosity rover august part mar science laboratory msl mission investigate martian climate geology,5
760,september indian space research organisation isro become fourth space agency visit mar maiden interplanetary mission mar orbiter mission spacecraft arrive orbit,2
761,united arab emirate become fifth successfully undertake mission mar insert orbiter martian atmosphere february,5
762,china national space administration cnsa tianwen spacecraft arrive martian orbit february,5
763,nasa perseverance rover ingenuity helicopter successfully land mar february,5
764,ingenuity successfully complete first power control flight aircraft planet besides earth april take vertically hover land mar,2
765,,5
766,may cnsa tianwen lander zhurong rover successfully land mar,5
767,zhurong rover successfully deploy may make china second country successfully deploy rover mar united state,5
768,surface geology investigation assess past habitability mar well possibility extant life,3
769,astrobiology mission plan european space agency rosalind franklin rover,2
770,liquid water surface mar can not exist due low atmospheric pressure less atmospheric pressure earth except low elevation short period,1
771,two polar ice cap appear make largely water,2
772,volume water ice south polar ice cap melt would sufficient cover planetary surface depth metre ft,5
773,november nasa report find large amount underground ice utopia planitia region,2
774,volume water detect estimated equivalent volume water lake superior,2
775,soil mar easily see earth naked eye reddish coloring,4
776,apparent magnitude reach surpass venus moon sun,5
777,optical ground base telescope typically limit resolve feature kilometres mi across earth mar closest earth atmosphere,2
778,hydrology english planet name roman god war association make red color suggest blood,4
779,adjectival form latin mar martius provide english word martian use adjective putative inhabitant mar martial use adjective corresponding terrestrial earth,2
780,greek planet know ἄρης arēs inflectional stem ἄρε,1
781,,5
782,come technical term areology well adjective arean star name antares,3
783,polar cap mar also basis name month march latin martius mēnsis month mar well tuesday latin dy martis day mar old anglo saxon god,2
784,tíw identify roman god mar interpretatio germanica,2
785,geography name surface feature due global influence european languages astronomy word like mar marte planet common around world though may use alongside old native word,2
786,number language provide word international usage,3
787,example map quadrangles mar approximately half diameter earth surface area slightly less total area earth dry land,2
788,mar less dense earth earth volume earth mass result earth surface gravity,2
789,red orange appearance martian surface cause iron iii oxide rust,4
790,look like butterscotch common surface color include golden brown tan greenish depend mineral present,0
791,impact topography like earth mar differentiate dense metallic core overlaid less dense material,2
792,current model interior imply core consist primarily iron nickel sulfur,3
793,iron ii sulfide core think twice rich light element earth,3
794,core surround silicate mantle form many tectonic volcanic feature planet appear dormant,2
795,besides silicon oxygen abundant element martian crust iron magnesium aluminium calcium potassium,2
796,average thickness planet crust kilometre mi maximum thickness kilometre mi,2
797,earth crust average kilometre mi,2
798,volcano mar seismically active insight record marsquakes related event,1
799,report base eleven low frequency marsquakes detect insight lander core mar indeed liquid radius km temperature around k,1
800,martian core radius half radius mar half size earth core,1
801,somewhat large model predict suggest core contains amount light element like oxygen hydrogen addition ironnickel alloy sulfur,3
802,tectonic site core mar overlie rocky mantle however seem layer analogue earth low mantle,2
803,martial mantle appear solid depth km low velocity zone partially melt asthenosphere begin,2
804,asthenosphere velocity seismic wave start grow depth km lie boundary transition zone,2
805,surface mar lie crust average thickness nbp km,2
806,hole,5
807,atmosphere mar terrestrial planet whose surface consist mineral contain silicon oxygen metal element typically make rock,2
808,martian surface primarily compose tholeiitic basalt although part silica rich typical basalt may similar andesitic rock earth silica glass,1
809,region low albedo suggest concentration plagioclase feldspar northern low albedo region display high normal concentration sheet silicate high silicon glass,2
810,part southern highland include detectable amount high calcium pyroxene,2
811,localized concentration hematite olivine find,2
812,much surface deeply cover finely grain iron iii oxide dust,4
813,methane although mar evidence structure global magnetic field observation show part planet crust magnetize suggest alternate polarity reversal dipole field occur past,2
814,paleomagnetism magnetically susceptible mineral similar alternate band find earth ocean floor,2
815,one theory publish examine october help mar global surveyor band suggest plate tectonic activity mar four billion year ago planetary dynamo cease function planet magnetic field fade,2
816,aurora,0
817,think solar system formation mar create result stochastic process run away accretion material protoplanetary disk orbit sun,2
818,mar many distinctive chemical feature cause position solar system,5
819,element comparatively low boil point chlorine phosphorus sulphur much common mar earth element probably push outward young sun energetic solar wind,2
820,climate formation planet subject call late heavy bombardment,3
821,surface mar show record impact era whereas much remain surface probably underlain immense impact basin cause event,3
822,evidence enormous impact basin northern hemisphere mar span kilometre mi roughly four time size moon south pole aitken basin large impact basin yet discover,3
823,theory suggest mar strike pluto size body four billion year ago,4
824,event thought cause martian hemispheric dichotomy create smooth borealis basin cover planet,3
825,orbit rotation geological history mar split many period follow three primary period habitability search life geological activity still take place mar,5
826,athabasca valles home sheet like lava flow create mya,2
827,water flow grabens call cerberus fossa occur less mya indicating equally recent volcanic intrusion,2
828,february image mar reconnaissance orbiter show evidence avalanche metre high ft cliff,2
829,moon phoenix lander return data show martian soil slightly alkaline contain element magnesium sodium potassium chlorine,2
830,nutrient find soil earth necessary growth plant,2
831,experiment perform lander show martian soil basic ph contains salt perchlorate concentration toxic human,4
832,exploration streak common across mar new one appear frequently steep slope crater troughs valley,2
833,streak dark first get light age,4
834,streak start tiny area spread hundred metre,5
835,see follow edge boulder obstacle path,2
836,commonly accepted theory include dark underlying layer soil reveal avalanche bright dust dust devil,4
837,several explanation put forward include involve water even growth organism,5
838,future liquid water can not exist surface mar due low atmospheric pressure less earth except low elevation short period,1
839,two polar ice cap appear make largely water,2
840,volume water ice south polar ice cap melt would sufficient cover entire planetary surface depth metre ft,5
841,permafrost mantle stretch pole latitude,2
842,large quantity ice think trap within thick cryosphere mar,5
843,radar data mar express mar reconnaissance orbiter mro show large quantity ice pole july middle latitude november,2
844,phoenix lander directly sample water ice shallow martian soil july,5
845,astronomy mar landforms visible mar strongly suggest liquid water exist planet surface,2
846,huge linear swathe scour ground know outflow channel cut across surface place,2
847,thought record erosion cause catastrophic release water subsurface aquifer though structure hypothesize result action glacier lava,3
848,one large examples adim vallis kilometre mi long much great grand canyon width kilometres mi depth kilometre mi place,2
849,think carve flowing water early mar history,5
850,young channel think form recently million year ago,4
851,elsewhere particularly old area martian surface finer scale dendritic network valley spread across significant proportion landscape,3
852,feature valley distribution strongly imply carve runoff result precipitation early mar history,2
853,subsurface water flow groundwater sapping may play important subsidiary role network precipitation probably root cause incision almost case,0
854,view along crater canyon wall thousand feature appear similar terrestrial gully,2
855,gully tend highlands southern hemisphere face equator poleward latitude,5
856,number author suggest formation process involve liquid water probably melt ice although others argue formation mechanism involve carbon dioxide frost movement dry dust,5
857,partially degraded gully form weather superimpose impact crater observe indicate young feature possibly still active,2
858,geological feature deltas alluvial fan preserve crater evidence warmer wetter condition interval interval earlier mar history,3
859,condition necessarily require widespread presence crater lakes across large proportion surface independent mineralogical sedimentological geomorphological evidence,4
860,closest approach evidence liquid water exist surface mar come detection specific mineral hematite goethite sometimes form presence water,1
861,opportunity detect mineral jarosite,4
862,form presence acidic water demonstrate water exist mar,5
863,recent evidence liquid water come find mineral gypsum surface nasa mar rover opportunity december,2
864,estimate amount water upper mantle mar represent hydroxyl ion contain within mineral mar geology equal great earth part per million water enough cover entire planet depth metre ft,2
865,relative radar data reveal presence large quantity water ice pole mid latitude,5
866,mar rover spirit sample chemical compound contain water molecule march,5
867,absolute around present time march nasa report evidence instrument curiosity rover mineral hydration likely hydrate calcium sulfate several rock sample include broken fragment tintina rock sutton inlier rock well vein nodule rock like knorr rock wernicke rock,5
868,analysis use rover dan instrument provide evidence subsurface water amount much water content depth centimetres rover traverse bradbury land site yellowknife bay area glenelg terrain,4
869,september nasa announce found conclusive evidence hydrate brine flow recur slope lineae base spectrometer reading darken area slope,2
870,observation provide confirmation earlier hypothesis base time formation rate growth dark streak result water flow shallow subsurface,5
871,streak contain hydrated salt perchlorates water molecule crystal structure,5
872,streak flow downhill martian summer temperature celsius freeze low temperature,2
873,historical observation researcher suspect much low northern plain planet cover ocean hundred meter deep though remains controversial,5
874,march scientist state ocean might size earth arctic ocean,1
875,find derive ratio water deuterium modern martian atmosphere compare ratio earth,2
876,amount martian deuterium eight time amount exists earth suggest ancient mar significantly high level water,2
877,result curiosity rover previously find high ratio deuterium gale crater though significantly high enough suggest former presence ocean,2
878,scientist caution result confirm point martian climate model yet show planet warm enough past support body liquid water,1
879,ancient medieval observation near northern polar cap kilometre mi wide korolev crater mar express orbiter find fill approximately cubic kilometre cu mi water ice,2
880,crater floor lie kilometres mi rim cover kilometre mi deep central mound permanent water ice kilometre mi diameter,2
881,martian canal february find dark streak call recur slope lineae rsl appear seasonably cause briny water flow day annually,2
882,spacecraft visitation mar two permanent polar ice cap,2
883,pole winter lie continuous darkness chill surface cause deposition atmosphere slabs co ice dry ice,2
884,pole expose sunlight frozen co sublimes,2
885,seasonal action transport large amount dust water vapor give rise earth like frost large cirrus cloud,4
886,cloud water ice photograph opportunity rover,5
887,culture cap pole consist primarily water ice,2
888,frozen carbon dioxide accumulate comparatively thin layer one metre thick north cap northern winter whereas south cap permanent dry ice cover eight metre thick,2
889,permanent dry ice cover south pole pepper flat floor shallow roughly circular pit repeat imaging show expand meter per year suggest permanent co cover south pole water ice degrading time,2
890,northern polar cap diameter kilometres mi northern mar summer contain million cubic kilometre cu ft ice spread evenly cap would kilometres mi thick,2
891,compare volume million cubic kilometre cu ft greenland ice sheet,2
892,southern polar cap diameter kilometres mi thickness kilometre mi,2
893,total volume ice south polar cap plus adjacent layer deposit estimate million cubic km,2
894,polar cap show spiral trough recent analysis sharad ice penetrate radar show result katabatic wind spiral due coriolis effect,3
895,intelligent martian seasonal frost area near southern ice cap result formation transparent metre thick slab dry ice ground,2
896,arrival spring sunlight warms subsurface pressure sublime co build slab elevate ultimately rupture,3
897,lead geyser like eruption co gas mixed dark basaltic sand dust,2
898,process rapid observe happen space day week month rate change rather unusual geology especially mar,3
899,gas rush underneath slab site geyser carve spiderweb like pattern radial channel ice process invert equivalent erosion network form water drain single plughole,2
900,interactive mar map,2
901,see also although good remember mapping moon johann heinrich mädler wilhelm beer first areographers,4
902,begin establish mar surface feature permanent precisely determine planet rotation period,2
903,mädler combine ten year observation draw first map mar,2
904,rather give name various marking beer mädler simply designate letter meridian bay sinus meridiani thus feature,4
905,note today feature mar name variety source,2
906,albedo feature name classical mythology,2
907,crater large km name deceased scientist writer others contribute study mar,0
908,crater small km name town village world population less,2
909,large valley name word mar star various language small valley name river,2
910,reference large albedo feature retain many old name often update reflect new knowledge nature feature,2
911,example nix olympica snow olympus become olympus mon mount olympus,5
912,surface mar see earth divide two kind area differ albedo,2
913,paler plain cover dust sand rich reddish iron oxide think martian continent give name like arabia terra land arabia amazonis planitia amazonian plain,4
914,dark feature think sea hence name mare erythraeum mare sirenum aurora sinus,2
915,large dark feature see earth syrtis major planum,2
916,permanent northern polar ice cap name planum boreum whereas southern cap call planum australe,2
917,external link mar equator defined rotation location prime meridian specify earth greenwich choice arbitrary point mädler beer select line first map mar,4
918,spacecraft mariner provide extensive imagery mar small crater later call airy locate sinus meridiani middle bay meridian bay choose merton davy rand corporation definition longitude coincide original selection,4
919,image mar ocean hence sea level zero elevation surface select reference level call areoid mar analogous terrestrial geoid,5
920,zero altitude define height,0
921,pa mbar atmospheric pressure,1
922,pressure correspond triple point water sea level surface pressure earth atm,4
923,video map purpose united state geological survey divide surface mar thirty cartographic quadrangle name classical albedo feature contains,1
924,quadrangle see explored via interactive image map,2
925,cartographic resource,0
